full_name,diameter,profit,price,dv,class,spec
162998 (2001 SK162),0.875,148518.8733,726094.4661,5.597912,APO,T
422686 (2000 AC6),0.176,148811.8865,1300404.531,7.31655,ATE,Q
96177 (1984 BC),3.4,610347.4187,8164927.05,10.340197,OMB,D
401857 (2000 PG3),4.2,1072100.674,15390879.18,11.204725,APO,D
6489 Golevka (1991 JX),0.53,5027750.863,35511423.33,6.44078,APO,Q
219071 (1997 US9),0.657,6014333.116,67645136.8,8.942975,APO,Q
2872 Gentelec (1981 RU),13.629,41680065.6,525905281.5,9.772708,MBA,D
101955 Bennu (1999 RQ36),0.492,185002121.9,669957009.3,5.095923,APO,B
8513 (1991 PK11),14.968,55731102.35,696637552,9.686237,MBA,D
1862 Apollo (1932 HA),1.5,88356037.91,805034046.5,7.484202,APO,Q
2857 NOT (1942 DA),9.313,72920998.93,875462960.8,9.34264,MBA,T
152931 (2000 EA107),1.646,61219710.1,1063726462,13.754901,ATE,Q
2102 Tantalus (1975 YA),1.649,35860263.32,1069553314,23.459713,APO,Q
3552 Don Quixote (1983 SA),19,92380205.29,1424873668,11.914464,AMO,D
4744 Rovereto (1988 RF5),19.189,113550744.2,1467819275,10.003887,MBA,D
3753 Cruithne (1986 TO),2.071,117686511.8,2118755132,14.237217,ATE,Q
86039 (1999 NC43),2.22,307191210.4,2609752932,7.130602,APO,Q
152563 (1992 BF),0.272,357666117.4,2903329274,6.982428,ATE,Xc
2569 Madeline (1980 MA),26.004,284510871.5,3652885251,9.950513,MBA,D
2929 Harris (1982 BK1),16.176,305673829.2,4587566604,11.565216,MBA,T
4660 Nereus (1982 DB),0.33,1388597662,4714378513,4.986974,APO,Xe
3311 Podobed (1976 QM1),17.336,428561468.8,5646972369,10.189554,MBA,T
2375 Radek (1975 AA),32.744,514604116,7293076224,10.926561,MBA,D
3248 Farinella (1982 FK),36.553,723178068.4,10145761221,10.812482,OMB,D
944 Hidalgo (1920 HZ),38,576083426.8,11398989342,15.188475,CEN,D
85990 (1999 JV6),0.451,1594877329,12034062278,6.700301,APO,Xk
1236 Thais (1931 VX),22.34,1007432070,12084215850,9.338055,MBA,T
2208 Pushkin (1977 QL3),40.85,961238306.6,14160928837,11.327803,OMB,D
1542 Schalen (1941 QE),42.374,1178170745,15805707640,10.350486,MBA,D
153201 (2000 WO107),0.51,725986543.3,17401759306,18.996061,ATE,X
1748 Mauderli (1966 RA),44.908,1338283364,18814240864,10.796932,OMB,D
2266 Tchaikovsky (1974 VK),46.94,1486699696,21485467779,11.12437,OMB,D
1578 Kirkwood (1951 AT),47.077,1566790547,21674141091,10.62865,OMB,D
2246 Bowell (1979 XH),48.424,1569946825,23588348768,11.528859,OMB,D
1471 Tornio (1938 SL1),28.719,1877069063,25673017017,10.578936,MBA,T
2312 Duboshin (1976 GU2),50.122,1797286286,26157771050,11.171182,OMB,D
162567 (2000 RW37),0.335,4525611906,29274984807,6.225465,APO,C
(2001 SJ262),0.34,3043377899,30605466839,7.983947,AMO,C
2311 El Leoncito (1974 TA1),53.14,2085889101,31173115450,11.482903,OMB,D
3254 Bus (1982 UM),31.104,2249299371,32615023630,11.129816,OMB,T
2271 Kiso (1976 UV5),31.229,2526252201,33009823394,10.108796,MBA,T
2813 Zappala (1981 WZ),32.04,2467689702,35648929256,11.136507,MBA,T
1144 Oda (1930 BJ),56.347,2464949708,37164470813,11.578681,OMB,D
308635 (2005 YU55),0.4,6231655748,49835891453,6.907348,APO,C
1746 Brouwer (1963 RF),62.523,3516970574,50773252240,11.084782,OMB,D
1167 Dubiago (1930 PB),63.12,3627341789,52241607069,11.081225,OMB,D
65803 Didymos (1996 GT),0.78,16412146394,62253881856,5.162008,APO,Xk
1256 Normannia (1932 PD),68.253,4428707582,66051212327,11.446696,OMB,D
368 Haidea (1893 AB),69.277,5257809550,69068937524,10.144031,MBA,D
(2002 BM26),0.84,9254827322,77753596637,7.073571,AMO,X
48603 (1995 BC2),0.844,13215877115,78869660060,6.009593,AMO,X
2674 Pandarus (1982 BC3),74.267,5319519010,85094835063,12.227544,TJN,D
721 Tabora (1911 MZ),74.791,5985178142,86908764867,11.164895,OMB,D
2893 Peiroos (1975 QD),86.884,8040682651,1.3625E+11,12.952692,TJN,D
14402 (1991 DB),0.6,26675835691,1.68196E+11,6.146024,AMO,C
2357 Phereclos (1981 AC),94.625,10884654049,1.76008E+11,12.359033,TJN,D
2363 Cebriones (1977 TJ3),95.976,8828132505,1.83655E+11,15.898684,TJN,D
2207 Antenor (1977 QH1),97.658,11727829768,1.93481E+11,12.61033,TJN,D
884 Priamus (1917 CQ),101.093,13378758649,2.14624E+11,12.263241,TJN,D
1269 Rollandia (1930 SH),104.893,16261522236,2.39748E+11,11.316257,OMB,D
4034 Vishnu (1986 PA),0.42,23251652063,2.42455E+11,8.357772,APO,O
194268 (2001 UY4),1.244,18585657413,2.52548E+11,10.701452,APO,X
10165 (1995 BL2),0.829,19860447773,2.61018E+11,10.365281,APO,L
1583 Antilochus (1950 SA),108.842,13554064521,2.67858E+11,15.10569,TJN,D
380188 (2000 WC67),1.312,32101851257,2.96268E+11,7.492442,AMO,X
2241 Alcathous (1979 WM),113.682,17631841005,3.05204E+11,13.230348,TJN,D
1143 Odysseus (1930 BH),114.624,19621527455,3.12854E+11,12.186307,TJN,D
399433 (2001 YK4),1.339,29754847958,3.14937E+11,8.371785,APO,X
1172 Aneas (1930 UA),118.02,19962450407,3.41493E+11,13.074826,TJN,D
1867 Deiphobus (1971 EA),118.22,17663777325,3.43233E+11,14.852948,TJN,D
3103 Eger (1982 BB),1.5,44759555841,4.42748E+11,7.960756,APO,Xe
911 Agamemnon (1919 FD),131.038,25593655784,4.6742E+11,13.955942,TJN,D
65679 (1989 UQ),0.918,87584018301,6.00732E+11,6.401666,ATE,B
85774 (1998 UT18),0.939,99623776831,6.44702E+11,6.221307,APO,C
570 Kythera (1905 QX),87.486,52032912744,7.25746E+11,10.735166,OMB,T
350513 (2000 BG19),1.77,74679201514,7.27449E+11,7.796833,AMO,X
773 Irmintraud (1913 TV),91.672,56476078350,8.34986E+11,11.41523,MBA,T
175706 (1996 FG3),1.196,1.81338E+11,1.33216E+12,6.607402,APO,C
5751 Zao (1992 AC),2.3,1.61918E+11,1.59612E+12,7.887991,AMO,X
2100 Ra-Shalom (1978 RA),2.3,1.30812E+11,1.75539E+12,10.648993,ATE,Xc
3317 Paris (1984 KF),118.79,94841903227,1.81681E+12,14.641298,TJN,T
624 Hektor (1907 XM),225,1.32442E+11,2.36626E+12,13.652932,TJN,D
3671 Dionysus (1984 KD),1.5,3.04028E+11,2.62441E+12,7.181451,APO,Cb
17274 (2000 LC16),3.183,4.72537E+11,4.23051E+12,7.334661,AMO,Xk
6178 (1986 DA),2.3,4.84742E+11,4.24569E+12,7.229358,AMO,M
596 Scheila (1906 UA),159.726,3.15727E+11,4.41668E+12,10.802042,MBA,T
85989 (1999 JD6),1.462,2.54722E+11,4.77188E+12,14.847421,ATE,K
4786 Tatianina (1985 PE2),3.282,4.50421E+11,5.10041E+12,8.851411,MBA,Xc
4942 Munroe (1987 DU6),3.453,4.95448E+11,5.40098E+12,8.563051,MBA,X
