Country/State,NumberofAttacks(2000–2015),NumberofFatalities(2000–2015),NumberofBrownBears,BrownBearRange(km2),HumanDensity(inhabitants/km2),BrownBearDensity(bears/1000km2)
Romania,131,11,6000,89900,62.3,66.741
Slovakia,54,0,1000,12855,89.0,77.790
Turkey,54,11,4000,190552,29.7,20.992
Alaska,51,7,32000,1455855,0.3,21.980
British Columbia,42,2,15000,768801,0.4,19.511
Wyoming,29,5,511,27896,1.2,18.318
Sweden,28,2,2900,316300,5.0,9.169
Iran,25,0,unknown,241327,12.7,unknown
Montana,25,2,1105,64713,2.9,17.075
Alberta,18,4,691,148114,0.8,4.665
Finland,17,0,1700,357900,13.7,4.750
Greece,12,1,350,19500,26.8,17.949
Slovenia,12,0,455,13700,73.3,33.212
Poland,8,1,115,10400,75.7,11.058
Ukraine,8,2,350,28000,101.0,12.500
Idaho,8,0,34,6663,3.5,5.103
Bulgaria,7,1,560,32800,35.2,17.073
NW Territories,6,1,4000,772227,0.01,5.180
Spain,5,0,247,12800,7.2,19.297
Yukon,4,3,6000,480406,0.03,12.489
Croatia,3,0,1000,12372,21.5,80.828
Norway,2,0,105,149550,6.9,0.702
Italy (Alps),2,0,51,2000,92.4,25.500
Estonia,2,0,700,34000,19.2,20.600
